alias,title,id,name,review_count,rating,price,coordinates_latitude,coordinates_longitude,location_address1,categoria_estandarizada,rating_ponderado
newamerican,New American,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,10667,4.4,$$$,41.88419277030351,-87.64794613195826,809 W Randolph,Carnes,4.398794901905995
bars,Bars,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,10667,4.4,$$$,41.88419277030351,-87.64794613195826,809 W Randolph,Otro,4.398794901905995
bakeries,Bakeries,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,10667,4.4,$$$,41.88419277030351,-87.64794613195826,809 W Randolph,Otro,4.398794901905995
tapasmallplates,Tapas/Small Plates,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8984,4.3,$$$,41.890694,-87.624782,444 N Michigan Ave,Carnes,4.303853086206689
mediterranean,Mediterranean,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8984,4.3,$$$,41.890694,-87.624782,444 N Michigan Ave,Vegetariano/Vegano,4.303853086206689
newamerican,New American,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8984,4.3,$$$,41.890694,-87.624782,444 N Michigan Ave,Carnes,4.303853086206689
newamerican,New American,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2812,4.1,$$$,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Carnes,4.1412266514445175
seafood,Seafood,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2812,4.1,$$$,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Mariscos/Pescado,4.1412266514445175
breakfast_brunch,Breakfast & Brunch,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2812,4.1,$$$,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Carnes,4.1412266514445175
newamerican,New American,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2739,4.4,$$,41.8842528,-87.6293151,145 N Dearborn St,Carnes,4.395845220618785
breakfast_brunch,Breakfast & Brunch,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2739,4.4,$$,41.8842528,-87.6293151,145 N Dearborn St,Carnes,4.395845220618785
beer_and_wine,"Beer, Wine & Spirits",PZe0q_153VHUnaR-8dOTJg,The Dearborn,2739,4.4,$$,41.8842528,-87.6293151,145 N Dearborn St,Otro,4.395845220618785
italian,Italian,cgIuo3geaxw1Sfhbqm5qTA,Alla Vita,813,4.4,$$$,41.88468,-87.642322,564 W Randolph St,Vegetariano/Vegano,4.389750700368807
